,airflow_ctx_dag_owner,airflow_ctx_dag_id,airflow_ctx_task_id,airflow_ctx_execution_date,airflow_ctx_try_number,airflow_ctx_dag_run_id
49,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,2,manual__2023-11-23T18:28:08.526678+00:00
50,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,1,manual__2023-11-23T18:28:08.526678+00:00
51,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,2,manual__2023-11-23T18:28:08.526678+00:00
52,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,1,manual__2023-11-23T18:28:08.526678+00:00
53,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,2,manual__2023-11-23T18:28:08.526678+00:00
54,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,1,manual__2023-11-23T18:28:08.526678+00:00
55,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,3,manual__2023-11-23T18:28:08.526678+00:00
56,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,2,manual__2023-11-23T18:28:08.526678+00:00
57,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,1,manual__2023-11-23T18:28:08.526678+00:00
58,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,3,manual__2023-11-23T18:28:08.526678+00:00
59,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,2,manual__2023-11-23T18:28:08.526678+00:00
60,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,1,manual__2023-11-23T18:28:08.526678+00:00
61,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,3,manual__2023-11-23T18:28:08.526678+00:00
62,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,2,manual__2023-11-23T18:28:08.526678+00:00
63,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,1,manual__2023-11-23T18:28:08.526678+00:00
64,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,3,manual__2023-11-23T18:28:08.526678+00:00
65,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,2,manual__2023-11-23T18:28:08.526678+00:00
66,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,1,manual__2023-11-23T18:28:08.526678+00:00
67,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,3,manual__2023-11-23T18:28:08.526678+00:00
68,***,extrair_logs_***,process_logs_dag_conexao,2023-11-23T18:28:08.526678+00:00,2,manual__2023-11-23T18:28:08.526678+00:00
